id,source_book,chapter_no,hadith_no,narrator,validity,chain_idx,text_bn,text_ar,explanation,extra_note,preface
1648,সহিহ বুখারী,,2482,,,,,,,,
3649,সহিহ বুখারী,,4283,,,,,,,,
3674,সহিহ বুখারী,,4305,,,,,,,,
3675,সহিহ বুখারী,,4306,,,,,,,,
3676,সহিহ বুখারী,,4307,,,,,,,,
3677,সহিহ বুখারী,,4308,,,,,,,,
3810,সহিহ বুখারী,,4428,,,,,,,,
3896,সহিহ বুখারী,,4505,,,,,,,,
3907,সহিহ বুখারী,,4515,,,,,,,,
3908,সহিহ বুখারী,,4516,,,,,,,,
3918,সহিহ বুখারী,,4525,,,,,,,,
3944,সহিহ বুখারী,,4549,,,,,,,,
3946,সহিহ বুখারী,,4550,,,,,,,,
3975,সহিহ বুখারী,,4577,,,,,,,,
3980,সহিহ বুখারী,,4581,,,,,,,,
4037,সহিহ বুখারী,,4632,,,,,,,,
4124,সহিহ বুখারী,,4710,,,,,,,,
4195,সহিহ বুখারী,,4775,,,,,,,,
4209,সহিহ বুখারী,,4788,,,,,,,,
4312,সহিহ বুখারী,,4880,,,,,,,,
4346,সহিহ বুখারী,,4910,,,,,,,,
6323,সহিহ বুখারী,,6690,,,,,,,,
6883,সহিহ বুখারী,,7194,,,,,,,,
11270,সহিহ মুসলিম,,4595,,,,,,,,
11271,সহিহ মুসলিম,,4596,,,,,,,,
11315,সহিহ মুসলিম,,4635,,,,,,,,
11606,সহিহ মুসলিম,,4898,,,,,,,,
14447,সহিহ মুসলিম,,7454,,,,,,,,
14448,সহিহ মুসলিম,,7455,,,,,,,,
14449,সহিহ মুসলিম,,7456,,,,,,,,
14450,সহিহ মুসলিম,,7457,,,,,,,,
14451,সহিহ মুসলিম,,7458,,,,,,,,
14452,সহিহ মুসলিম,,7459,,,,,,,,
14454,সহিহ মুসলিম,,7460,,,,,,,,
14455,সহিহ মুসলিম,,7461,,,,,,,,
14456,সহিহ মুসলিম,,7462,,,,,,,,
14457,সহিহ মুসলিম,,7463,,,,,,,,
14458,সহিহ মুসলিম,,7464,,,,,,,,
14459,সহিহ মুসলিম,,7465,,,,,,,,
14460,সহিহ মুসলিম,,7466,,,,,,,,
14461,সহিহ মুসলিম,,7467,,,,,,,,
14462,সহিহ মুসলিম,,7468,,,,,,,,
14463,সহিহ মুসলিম,,7469,,,,,,,,
14465,সহিহ মুসলিম,,7470,,,,,,,,
14466,সহিহ মুসলিম,,7471,,,,,,,,
14467,সহিহ মুসলিম,,7472,,,,,,,,
14468,সহিহ মুসলিম,,7473,,,,,,,,
14469,সহিহ মুসলিম,,7474,,,,,,,,
14470,সহিহ মুসলিম,,7475,,,,,,,,
14471,সহিহ মুসলিম,,7476,,,,,,,,
14472,সহিহ মুসলিম,,7477,,,,,,,,
14473,সহিহ মুসলিম,,7478,,,,,,,,
14474,সহিহ মুসলিম,,7479,,,,,,,,
14476,সহিহ মুসলিম,,7480,,,,,,,,
14477,সহিহ মুসলিম,,7481,,,,,,,,
14478,সহিহ মুসলিম,,7482,,,,,,,,
14479,সহিহ মুসলিম,,7483,,,,,,,,
14480,সহিহ মুসলিম,,7484,,,,,,,,
14481,সহিহ মুসলিম,,7485,,,,,,,,
14482,সহিহ মুসলিম,,7486,,,,,,,,
14483,সহিহ মুসলিম,,7487,,,,,,,,
14484,সহিহ মুসলিম,,7488,,,,,,,,
14485,সহিহ মুসলিম,,7489,,,,,,,,
14487,সহিহ মুসলিম,,7490,,,,,,,,
14488,সহিহ মুসলিম,,7491,,,,,,,,
14489,সহিহ মুসলিম,,7492,,,,,,,,
14490,সহিহ মুসলিম,,7493,,,,,,,,
14491,সহিহ মুসলিম,,7494,,,,,,,,
14492,সহিহ মুসলিম,,7495,,,,,,,,
14493,সহিহ মুসলিম,,7496,,,,,,,,
14494,সহিহ মুসলিম,,7497,,,,,,,,
14495,সহিহ মুসলিম,,7498,,,,,,,,
14496,সহিহ মুসলিম,,7499,,,,,,,,
14499,সহিহ মুসলিম,,7500,,,,,,,,
