id,hadith_id,source,chapter_no,hadith_no,chapter,chain_indx,text_ar,text_en
3837,63, Sahih Bukhari ,63, 3837 ,Merits of the Helpers in Madinah (Ansaar) - كتاب مناقب الأنصار,"35043, 20240, 11449, 10567, 113","حدثنا سعد بن حفص، حدثنا شيبان، عن يحيى، قال أبو سلمة أخبرني أبو أسيد، أنه سمع النبي صلى الله عليه وسلم يقول ‏""‏ خير الأنصار  أو قال خير دور الأنصار  بنو النجار وبنو عبد الأشهل وبنو الحارث وبنو ساعدة ‏""‏‏.‏",
3873,63, Sahih Bukhari ,63, 3873 ,Merits of the Helpers in Madinah (Ansaar) - كتاب مناقب الأنصار,"30349, 20025, 20475, 11013, 10511, 53","وقال عبدان أخبرنا عبد الله، أخبرنا يونس، عن الزهري، حدثني عروة، أن عائشة  رضى الله عنها  قالت جاءت هند بنت عتبة قالت يا رسول الله، ما كان على ظهر الأرض من أهل خباء أحب إلى أن يذلوا من أهل خبائك، ثم ما أصبح اليوم على ظهر الأرض أهل خباء أحب إلى أن يعزوا من أهل خبائك‏.‏ قال وأيضا والذي نفسي بيده، قالت يا رسول الله إن أبا سفيان رجل مسيك، فهل على حرج أن أطعم من الذي له عيالنا قال ‏""‏ لا أراه إلا بالمعروف ‏""‏‏.‏",
3888,63, Sahih Bukhari ,63, 3888 ,Merits of the Helpers in Madinah (Ansaar) - كتاب مناقب الأنصار,"17, 100",قال وقال ابن عباس سمعت أبي يقول، في الجاهلية اسقنا كأسا دهاقا‏.‏,
3929,63, Sahih Bukhari ,63, 3929 ,Merits of the Helpers in Madinah (Ansaar) - كتاب مناقب الأنصار,"11176, 11013, 11002, 13",وعن صالح، عن ابن شهاب، قال حدثني سعيد بن المسيب، أن أبا هريرة  رضى الله عنه  أخبرهم أن رسول الله صلى الله عليه وسلم صف بهم في المصلى، فصلى عليه وكبر أربعا‏.‏,
3966,63, Sahih Bukhari ,63, 3966 ,Merits of the Helpers in Madinah (Ansaar) - كتاب مناقب الأنصار,,قال البراء فدخلت مع أبي بكر على أهله، فإذا عائشة ابنته مضطجعة، قد أصابتها حمى، فرأيت أباها فقبل خدها، وقال كيف أنت يا بنية,
3968,63, Sahih Bukhari ,63, 3968 ,Merits of the Helpers in Madinah (Ansaar) - كتاب مناقب الأنصار,"30285, 20733, 20024, 36618, 19",وقال دحيم حدثنا الوليد، حدثنا الأوزاعي، حدثني أبو عبيد، عن عقبة بن وساج، حدثني أنس بن مالك  رضى الله عنه  قال قدم النبي صلى الله عليه وسلم المدينة، فكان أسن أصحابه أبو بكر، فغلفها بالحناء والكتم حتى قنأ لونها‏.‏,
3988,63, Sahih Bukhari ,63, 3988 ,Merits of the Helpers in Madinah (Ansaar) - كتاب مناقب الأنصار,,والق زيد بن أرقم فاسأله فإنه كان أعظمنا تجارة، فسألت زيد بن أرقم فقال مثله‏.‏ وقال سفيان مرة فقال قدم علينا النبي صلى الله عليه وسلم المدينة ونحن نتبايع، وقال نسيئة إلى الموسم أو الحج‏.‏,
4041,64, Sahih Bukhari ,64, 4041 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20023, 20475, 11013, 839",وقال الليث حدثني يونس، عن ابن شهاب، وسألناه، فقال أخبرني محمد بن عبد الرحمن بن ثوبان، مولى بني عامر بن لؤى أن محمد بن إياس بن البكير، وكان، أبوه شهد بدرا أخبره‏.‏,
4073,64, Sahih Bukhari ,64, 4073 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11013, 11058, 871","وعن الزهري، عن محمد بن جبير بن مطعم، عن أبيه، أن النبي صلى الله عليه وسلم قال في أسارى بدر ‏""‏ لو كان المطعم بن عدي حيا ثم كلمني في هؤلاء النتنى لتركتهم له ‏""‏‏.‏",
4117,64, Sahih Bukhari ,64, 4117 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30132, 20304, 11168, 11019, 19, 229",وقال لي خليفة حدثنا يزيد بن زريع، حدثنا سعيد، عن قتادة، عن أنس، عن أبي طلحة  رضى الله عنهما  قال كنت فيمن تغشاه النعاس يوم أحد، حتى سقط سيفي من يدي مرارا، يسقط وآخذه، ويسقط فآخذه‏.‏,
4119,64, Sahih Bukhari ,64, 4119 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11243, 11011",وعن حنظلة بن أبي سفيان، سمعت سالم بن عبد الله، يقول كان رسول الله صلى الله عليه وسلم يدعو على صفوان بن أمية وسهيل بن عمرو والحارث بن هشام فنزلت ‏{‏ليس لك من الأمر شىء‏}‏ إلى قوله ‏{‏فإنهم ظالمون‏}‏‏.‏,
4174,64, Sahih Bukhari ,64, 4174 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11352, 11372, 400","وزاد إبراهيم بن طهمان عن الشيباني، عن عدي بن ثابت، عن البراء بن عازب، قال رسول الله صلى الله عليه وسلم يوم قريظة لحسان بن ثابت ‏""‏ اهج المشركين، فإن جبريل معك ‏""‏‏.‏",
4175,64, Sahih Bukhari ,64, 4175 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20245, 20718, 11449, 10567, 34",وقال عبد الله بن رجاء أخبرنا عمران القطان، عن يحيى بن أبي كثير، عن أبي سلمة، عن جابر بن عبد الله  رضى الله عنهما أن النبي صلى الله عليه وسلم صلى بأصحابه في الخوف في غزوة السابعة غزوة ذات الرقاع‏.‏ قال ابن عباس صلى النبي صلى الله عليه وسلم الخوف بذي قرد‏.‏,
4176,64, Sahih Bukhari ,64, 4176 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"10849, 16034, 41",وقال بكر بن سوادة حدثني زياد بن نافع، عن أبي موسى، أن جابرا، حدثهم صلى النبي، صلى الله عليه وسلم بهم يوم محارب وثعلبة‏.‏,
4177,64, Sahih Bukhari ,64, 4177 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11107, 11231",وقال ابن إسحاق سمعت وهب بن كيسان، سمعت جابرا، خرج النبي صلى الله عليه وسلم إلى ذات الرقاع من نخل فلقي جمعا من غطفان، فلم يكن قتال، وأخاف الناس بعضهم بعضا فصلى النبي صلى الله عليه وسلم ركعتى الخوف‏.‏ وقال يزيد عن سلمة غزوت مع النبي صلى الله عليه وسلم يوم القرد‏.‏,
4180,64, Sahih Bukhari ,64, 4180 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"32, 11065, 11263, 34",وقال معاذ حدثنا هشام، عن أبي الزبير، عن جابر، قال كنا مع النبي صلى الله عليه وسلم بنخل‏.‏ فذكر صلاة الخوف‏.‏ قال مالك وذلك أحسن ما سمعت في صلاة الخوف‏.‏ تابعه الليث عن هشام عن زيد بن أسلم أن القاسم بن محمد حدثه صلى النبي صلى الله عليه وسلم في غزوة بني أنمار‏.‏,
4188,64, Sahih Bukhari ,64, 4188 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"20577, 11449, 10567, 34","وقال أبان حدثنا يحيى بن أبي كثير، عن أبي سلمة، عن جابر، قال كنا مع النبي صلى الله عليه وسلم بذات الرقاع، فإذا أتينا على شجرة ظليلة تركناها للنبي صلى الله عليه وسلم، فجاء رجل من المشركين وسيف النبي صلى الله عليه وسلم معلق بالشجرة فاخترطه فقال تخافني قال ‏""‏ لا ‏""‏‏.‏ قال فمن يمنعك مني قال ‏""‏ الله ‏""‏‏.‏ فتهدده أصحاب النبي صلى الله عليه وسلم، وأقيمت الصلاة فصلى بطائفة ركعتين، ثم تأخروا، وصلى بالطائفة الأخرى ركعتين، وكان للنبي صلى الله عليه وسلم أربع وللقوم ركعتين‏.‏ وقال مسدد عن أبي عوانة عن أبي بشر اسم الرجل غورث بن الحارث، وقاتل فيها محارب خصفة‏.‏",
4189,64, Sahih Bukhari ,64, 4189 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,11263,وقال أبو الزبير عن جابر، كنا مع النبي صلى الله عليه وسلم بنخل فصلى الخوف‏.‏ وقال أبو هريرة صليت مع النبي صلى الله عليه وسلم غزوة نجد صلاة الخوف‏.‏ وإنما جاء أبو هريرة إلى النبي صلى الله عليه وسلم أيام خيبر‏.‏,
4198,64, Sahih Bukhari ,64, 4198 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30213, 20263, 11065, 10511",وقال محمد حدثنا عثمان بن فرقد، سمعت هشاما، عن أبيه، قال سببت حسان، وكان ممن كثر عليها‏.‏,
4208,64, Sahih Bukhari ,64, 4208 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30150, 20286, 20020, 11381, 5115",وقال عبيد الله بن معاذ حدثنا أبي، حدثنا شعبة، عن عمرو بن مرة، حدثني عبد الله بن أبي أوفى  رضى الله عنهما  كان أصحاب الشجرة ألفا وثلاثمائة، وكانت أسلم ثمن المهاجرين‏.‏ تابعه محمد بن بشار حدثنا أبو داود حدثنا شعبة‏.‏,
4225,64, Sahih Bukhari ,64, 4225 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,,وعن مجزأة، عن رجل، منهم من أصحاب الشجرة اسمه أهبان بن أوس وكان اشتكى ركبته، وكان إذا سجد جعل تحت ركبته وسادة‏.‏,
4231,64, Sahih Bukhari ,64, 4231 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"11013, 10511, 53",قال ابن شهاب وأخبرني عروة بن الزبير، أن عائشة  رضى الله عنها  زوج النبي صلى الله عليه وسلم قالت إن رسول الله صلى الله عليه وسلم كان يمتحن من هاجر من المؤمنات بهذه الآية ‏{‏يا أيها النبي إذا جاءك المؤمنات‏}‏‏.‏ وعن عمه قال بلغنا حين أمر الله رسوله صلى الله عليه وسلم أن يرد إلى المشركين ما أنفقوا على من هاجر من أزواجهم، وبلغنا أن أبا بصير‏.‏ فذكره بطوله‏.‏,
4236,64, Sahih Bukhari ,64, 4236 ,Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi) - كتاب المغازى,"30288, 20733, 11530, 11014, 18",وقال هشام بن عمار حدثنا الوليد بن مسلم، حدثنا عمر بن محمد العمري، أخبرني نافع، عن ابن عمر  رضى الله عنهما  أن الناس، كانوا مع النبي صلى الله عليه وسلم يوم الحديبية، تفرقوا في ظلال الشجر، فإذا الناس محدقون بالنبي صلى الله عليه وسلم فقال يا عبد الله، انظر ما شأن الناس قد أحدقوا برسول الله صلى الله عليه وسلم فوجدهم يبايعون، فبايع ثم رجع إلى عمر فخرج فبايع‏.‏,
